idn	akten-nr
1280496258                         	HABV_91_1_969               
1280496266                         	HABV_91_1_970               
1280496274                         	HABV_91_1_972               
1280496282                         	HABV_91_1_976               
1280496290                         	HABV_91_1_977               
1280496304                         	HABV_91_1_978               
1280496312                         	HABV_91_1_979               
1280496320                         	HABV_91_1_980               
1280496339                         	HABV_91_1_981               
1280496347                         	HABV_91_1_983               
1280496355                         	HABV_91_1_984               
1280496363                         	HABV_91_1_985               
1280496371                         	HABV_91_1_986               
128049638X                         	HABV_91_1_987               
1280496398                         	HABV_91_1_988               
1280496401                         	HABV_91_1_989               
128049641X                         	HABV_91_1_990               
1280496428                         	HABV_91_1_992               
1280496436                         	HABV_91_1_993               
1280496444                         	HABV_91_1_997               
1280496452                         	HABV_91_1_998               
1280496460                         	HABV_91_1_999               
1280496479                         	HABV_91_1_1000              
1280496487                         	HABV_91_1_1001              
1280496495                         	HABV_91_1_1006              
1280496509                         	HABV_91_1_1008              
1280496517                         	HABV_91_1_1009              
1280496525                         	HABV_91_1_1010              
1280496533                         	HABV_91_1_1013              
1280496541                         	HABV_91_1_1014              
128049655X                         	HABV_91_1_1016              
1280496568                         	HABV_91_1_1017              
1280496576                         	HABV_91_1_1019              
1280496584                         	HABV_91_1_1020              
1280496592                         	HABV_91_1_1021              
1280496606                         	HABV_91_1_1024              
1280496614                         	HABV_91_1_1026              
1280496622                         	HABV_91_1_1029              
1280496630                         	HABV_91_1_1033              
1280496649                         	HABV_91_1_1034              
1280496657                         	HABV_91_1_1036              
1280496665                         	HABV_91_1_1038              
1280496673                         	HABV_91_1_1040              
1280496681                         	HABV_91_1_1041              
128049669X                         	HABV_91_1_1045              
1280496703                         	HABV_91_1_1047              
1280496711                         	HABV_91_1_1050              
128049672X                         	HABV_91_1_1051              
1280496738                         	HABV_91_1_1053              
1280496746                         	HABV_91_1_1056              
1280496754                         	HABV_91_1_1057              
1280496762                         	HABV_91_1_1059              
1280496770                         	HABV_91_1_1061              
1280496789                         	HABV_91_1_1062              
1280496797                         	HABV_91_1_1065              
1280496800                         	HABV_91_1_1068              
1280496819                         	HABV_91_1_1069              
1280496827                         	HABV_91_1_1070              
1280496835                         	HABV_91_1_1071              
1280496843                         	HABV_91_1_1072              
1280496851                         	HABV_91_1_1073              
128049686X                         	HABV_91_1_1076              
1280496878                         	HABV_91_1_1077              
1280496886                         	HABV_91_1_1079              
1280496894                         	HABV_91_1_1080              
1280496908                         	HABV_91_1_1085              
1280496916                         	HABV_91_1_1086              
1280496924                         	HABV_91_1_1089              
1280496932                         	HABV_91_1_1090              
1280496940                         	HABV_91_1_1091              
1280496959                         	HABV_91_1_1094              
1280496967                         	HABV_91_1_1101              
1280496975                         	HABV_91_1_1104              
1280496983                         	HABV_91_1_1105              
1280496991                         	HABV_91_1_1107              
1280497009                         	HABV_91_1_1109              
1280497017                         	HABV_91_1_1110              
1280497025                         	HABV_91_1_1111              
1280497033                         	HABV_91_1_1114              
1280497041                         	HABV_91_1_1116              
128049705X                         	HABV_91_1_1118              
1280497068                         	HABV_91_1_1119              
1280497076                         	HABV_91_1_1121              
1280497084                         	HABV_91_1_1124              
1280497092                         	HABV_91_1_1125              
1280497106                         	HABV_91_1_1126              
1280497114                         	HABV_91_1_1128              
1280497122                         	HABV_91_1_1131              
1280497130                         	HABV_91_1_1134              
1280497149                         	HABV_91_1_1135              
1280497157                         	HABV_91_1_1137              
1280497165                         	HABV_91_1_1138              
1280497173                         	HABV_91_1_1140              
1280497181                         	HABV_91_1_1142              
128049719X                         	HABV_91_1_1143              
1280497203                         	HABV_91_1_1145              
1280497211                         	HABV_91_1_1146              
128049722X                         	HABV_91_1_1147              
1280497238                         	HABV_91_1_1148              
1280497246                         	HABV_91_1_1149              
1280497254                         	HABV_91_1_1150              
1280497262                         	HABV_91_1_1152              
1280497270                         	HABV_91_1_1153              
1280497289                         	HABV_91_1_1156              
1280497297                         	HABV_91_1_1159              
1280497300                         	HABV_91_1_1163              
1280497319                         	HABV_91_1_1164              
1280497327                         	HABV_91_1_1167              
1280497335                         	HABV_91_1_1168              
1280497343                         	HABV_91_1_1169              
1280497351                         	HABV_91_1_1172              
128049736X                         	HABV_91_1_1177              
1280497378                         	HABV_91_1_1179              
1280497386                         	HABV_91_1_1180              
1280497394                         	HABV_91_1_1182              
1280497408                         	HABV_91_1_1183              
1280497416                         	HABV_91_1_1184              
1280497424                         	HABV_91_1_1185              
1280497432                         	HABV_91_1_1189              
1280497440                         	HABV_91_1_1190              
1280497459                         	HABV_91_1_1192              
1280497467                         	HABV_91_1_1193              
1280497475                         	HABV_91_1_1194              
1280497483                         	HABV_91_1_1196              
1280497491                         	HABV_91_1_1197              
1280497505                         	HABV_91_1_1200              
1280497513                         	HABV_91_1_1201              
1280497521                         	HABV_91_1_1202              
128049753X                         	HABV_91_1_1206              
1280497548                         	HABV_91_1_1207              
1280497556                         	HABV_91_1_1208              
1280497564                         	HABV_91_1_1213              
