idn	akten-nr
1247327248                         	HABV_91_1_1105              
1247327256                         	HABV_91_1_1107              
1247327264                         	HABV_91_1_1109              
1247327272                         	HABV_91_1_1110              
1247327280                         	HABV_91_1_1111              
1247327299                         	HABV_91_1_1114              
1247327302                         	HABV_91_1_1116              
1247327310                         	HABV_91_1_1118              
1247327329                         	HABV_91_1_1119              
1247327337                         	HABV_91_1_1121              
1247327345                         	HABV_91_1_1124              
1247327353                         	HABV_91_1_1125              
1247327361                         	HABV_91_1_1126              
124732737X                         	HABV_91_1_1128              
1247327388                         	HABV_91_1_1131              
1247327396                         	HABV_91_1_1134              
124732740X                         	HABV_91_1_1135              
1247327418                         	HABV_91_1_1137              
1247327426                         	HABV_91_1_1138              
1247327434                         	HABV_91_1_1140              
1247327442                         	HABV_91_1_1142              
1247327450                         	HABV_91_1_1143              
1247327469                         	HABV_91_1_1145              
1247327477                         	HABV_91_1_1146              
1247327485                         	HABV_91_1_1147              
1247327493                         	HABV_91_1_1148              
1247327507                         	HABV_91_1_1149              
1247327515                         	HABV_91_1_1150              
1247327523                         	HABV_91_1_1152              
1247327531                         	HABV_91_1_1153              
124732754X                         	HABV_91_1_1156              
1247327558                         	HABV_91_1_1159              
1247327566                         	HABV_91_1_1163              
1247327574                         	HABV_91_1_1164              
1247327582                         	HABV_91_1_1167              
1247327590                         	HABV_91_1_1168              
1247327604                         	HABV_91_1_1169              
1247327612                         	HABV_91_1_1172              
1247327620                         	HABV_91_1_1177              
1247327639                         	HABV_91_1_1179              
1247327647                         	HABV_91_1_1180              
1247327655                         	HABV_91_1_1182              
1247327663                         	HABV_91_1_1183              
1247327671                         	HABV_91_1_1184              
124732768X                         	HABV_91_1_1185              
1247327698                         	HABV_91_1_1189              
1247327701                         	HABV_91_1_1190              
124732771X                         	HABV_91_1_1192              
1247327728                         	HABV_91_1_1193              
1247327736                         	HABV_91_1_1194              
1247327744                         	HABV_91_1_1196              
1247327752                         	HABV_91_1_1197              
1247327760                         	HABV_91_1_1200              
1247327779                         	HABV_91_1_1201              
1247327787                         	HABV_91_1_1202              
1247327795                         	HABV_91_1_1206              
1247327809                         	HABV_91_1_1207              
1247327817                         	HABV_91_1_1208              
1247327825                         	HABV_91_1_1213              
1247327833                         	HABV_91_1_1215              
1247327841                         	HABV_91_1_1216              
124732785X                         	HABV_91_1_1218              
1247327868                         	HABV_91_1_1221              
1247327876                         	HABV_91_1_1224              
1247327884                         	HABV_91_1_1225              
1247327892                         	HABV_91_1_1226              
1247327906                         	HABV_91_1_1227              
1247327914                         	HABV_91_1_1229              
1247327922                         	HABV_91_1_1230              
1247327930                         	HABV_91_1_1233              
1247327949                         	HABV_91_1_1234              
1247327957                         	HABV_91_1_1235              
1247327965                         	HABV_91_1_1238              
1247327973                         	HABV_91_1_1241              
1247327981                         	HABV_91_1_1242              
124732799X                         	HABV_91_1_1244              
1247328007                         	HABV_91_1_1246              
1247328015                         	HABV_91_1_1248              
1247328023                         	HABV_91_1_1249              
1247328031                         	HABV_91_1_1251              
124732804X                         	HABV_91_1_1253              
1247328058                         	HABV_91_1_1254              
1247328066                         	HABV_91_1_1267              
1247328074                         	HABV_91_1_1269              
1247328082                         	HABV_91_1_1270              
1247328090                         	HABV_91_1_1271              
1247328104                         	HABV_91_1_1272              
1247328112                         	HABV_91_1_1275              
1247328120                         	HABV_91_1_1276              
1247328139                         	HABV_91_1_1278              
1247328147                         	HABV_91_1_1280              
1247328155                         	HABV_91_1_1281              
1247328163                         	HABV_91_1_1284              
1247328171                         	HABV_91_1_1285              
124732818X                         	HABV_91_1_1288              
1247328198                         	HABV_91_1_1289              
1247328201                         	HABV_91_1_1290              
124732821X                         	HABV_91_1_1291              
1247328228                         	HABV_91_1_1294              
1247328236                         	HABV_91_1_1295              
1247328244                         	HABV_91_1_1296              
1247328252                         	HABV_91_1_1297              
1247328260                         	HABV_91_1_1300              
1247328279                         	HABV_91_1_1302              
1247328287                         	HABV_91_1_1306              
1247328295                         	HABV_91_1_1307              
1247328309                         	HABV_91_1_1312              
1247328317                         	HABV_91_1_1314              
1247328325                         	HABV_91_1_1315              
1247328333                         	HABV_91_1_1316              
1247328341                         	HABV_91_1_1317              
124732835X                         	HABV_91_1_1318              
1247328368                         	HABV_91_1_1320              
1247328376                         	HABV_91_1_1321              
1247328384                         	HABV_91_1_1322              
1247328392                         	HABV_91_1_1323              
1247328406                         	HABV_91_1_1324              
1247328414                         	HABV_91_1_1326              
1247328422                         	HABV_91_1_1329              
1247328430                         	HABV_91_1_1331              
1247328449                         	HABV_91_1_1332              
1247328457                         	HABV_91_1_1333              
1247328465                         	HABV_91_1_1334              
1247328473                         	HABV_91_1_1335              
1247328481                         	HABV_91_1_1336              
124732849X                         	HABV_91_1_1338              
1247328503                         	HABV_91_1_1339              
1247328511                         	HABV_91_1_1343              
124732852X                         	HABV_91_1_1344              
1247328538                         	HABV_91_1_1346              
1247328546                         	HABV_91_1_1348              
1247328554                         	HABV_91_1_1352              
1247328562                         	HABV_91_1_1355              
1247328570                         	HABV_91_1_1357              
1247328589                         	HABV_91_1_1359              
1247328597                         	HABV_91_1_1362              
1247328600                         	HABV_91_1_1363              
1247328619                         	HABV_91_1_1368              
1247328627                         	HABV_91_1_1369              
1247328635                         	HABV_91_1_1370              
1247328643                         	HABV_91_1_1371              
1247328651                         	HABV_91_1_1372              
124732866X                         	HABV_91_1_1376              
1247328678                         	HABV_91_1_1377              
1247328686                         	HABV_91_1_1380              
1247328694                         	HABV_91_1_1381              
1247328708                         	HABV_91_1_1385              
1247328716                         	HABV_91_1_1388              
1247328724                         	HABV_91_1_1390              
1247328732                         	HABV_91_1_1391              
1247328740                         	HABV_91_1_1392              
1247328759                         	HABV_91_1_1395              
1247328767                         	HABV_91_1_1399              
1247328775                         	HABV_91_1_1400              
1247328783                         	HABV_91_1_1403              
1247328791                         	HABV_91_1_1404              
1247328805                         	HABV_91_1_1405              
1247328813                         	HABV_91_1_1406              
1247328821                         	HABV_91_1_1407              
124732883X                         	HABV_91_1_1410              
1247328848                         	HABV_91_1_1414              
1247328856                         	HABV_91_1_1416              
1247328864                         	HABV_91_1_1417              
1247328872                         	HABV_91_1_1418              
1247328880                         	HABV_91_1_1419              
1247328899                         	HABV_91_1_1422              
1247328910                         	HABV_91_1_1425              
1247328929                         	HABV_91_1_1427              
1247328937                         	HABV_91_1_1430              
